AVERAGE:	10247.000000	0.043583	39685.200000	0.878214
AVERAGE:	12530.000000	0.056670	39350.000000	0.987360
AVERAGE:	11653.000000	0.021655	39329.200000	0.837128
AVERAGE:	11439.000000	0.031920	39419.100000	1.242680
AVERAGE:	10224.000000	0.032004	39430.300000	1.073624
AVERAGE:	13118.000000	0.038452	39380.600000	0.907922
AVERAGE:	933.000000	0.042411	933.000000	0.058859
AVERAGE:	89.000000	0.042698	89.000000	0.059155
AVERAGE:	3681.000000	0.043389	6294.000000	0.166961
AVERAGE:	5067.000000	0.042566	10497.600000	0.304479
AVERAGE:	8357.000000	0.043438	26702.100000	0.920188
AVERAGE:	6222.000000	0.042119	15789.400000	0.344606
AVERAGE:	4192.000000	0.044034	7998.200000	0.247445
AVERAGE:	634.000000	1.054165	4976.400000	8.267011
AVERAGE:	839.000000	0.600898	4954.700000	10.743679
AVERAGE:	985.000000	0.710414	4945.700000	10.628105
AVERAGE:	741.000000	0.591764	4941.000000	9.709735
AVERAGE:	892.000000	0.561784	4948.800000	9.385225
AVERAGE:	796.000000	0.870109	4953.100000	11.571819
AVERAGE:	194.000000	1.027092	334.200000	1.622822
AVERAGE:	59.000000	1.027427	64.000000	1.139807
AVERAGE:	170.000000	1.027544	264.600000	1.487111
AVERAGE:	-1.000000	1.028085	-1.000000	1.092865
AVERAGE:	370.000000	1.026644	1775.300000	7.065162
AVERAGE:	370.000000	1.027638	1795.100000	7.625063
AVERAGE:	266.000000	1.027710	677.500000	2.878132
AVERAGE:	486.000000	0.079049	2354.500000	0.538931
AVERAGE:	719.000000	0.053415	2331.400000	0.713305
AVERAGE:	584.000000	0.034720	2311.100000	0.586206
AVERAGE:	632.000000	0.053951	2317.800000	0.700171
AVERAGE:	730.000000	0.048622	2327.700000	0.742005
AVERAGE:	697.000000	0.040250	2322.500000	0.672941
AVERAGE:	94.000000	0.079853	118.600000	0.134554
AVERAGE:	171.000000	0.079727	310.600000	0.246041
AVERAGE:	-28.000000	0.079788	-28.000000	0.095228
AVERAGE:	367.000000	0.079735	1496.700000	0.717413
AVERAGE:	56.000000	0.079808	56.000000	0.095356
AVERAGE:	262.000000	0.079781	840.800000	0.523816
AVERAGE:	178.000000	0.079752	327.900000	0.241615
AVERAGE:	539.000000	0.378747	3603.400000	2.748339
AVERAGE:	774.000000	0.203004	3573.800000	3.666540
AVERAGE:	868.000000	0.180901	3567.000000	2.979623
AVERAGE:	1177.000000	0.214589	3578.500000	3.546266
AVERAGE:	720.000000	0.279766	3580.200000	3.545599
AVERAGE:	929.000000	0.189440	3557.900000	3.089811
AVERAGE:	343.000000	0.378714	1612.500000	3.035829
AVERAGE:	63.000000	0.378811	63.000000	0.417371
AVERAGE:	322.000000	0.378485	1409.900000	2.377321
AVERAGE:	98.000000	0.378812	117.000000	0.466059
AVERAGE:	448.000000	0.378598	2629.400000	2.836562
AVERAGE:	308.000000	0.379152	1280.400000	2.235234
AVERAGE:	238.000000	0.378957	701.900000	1.527937
AVERAGE:	31852.000000	1.197229	253304.900000	12.521531
AVERAGE:	32901.000000	0.573995	252553.500000	15.173911
AVERAGE:	31253.000000	0.627798	252654.200000	13.711894
AVERAGE:	38930.000000	0.578474	252684.400000	16.245942
AVERAGE:	38331.000000	0.655822	252866.300000	14.111003
AVERAGE:	46879.000000	0.596098	252053.600000	16.009990
AVERAGE:	9308.000000	1.196657	24009.000000	2.989352
AVERAGE:	19140.000000	1.196491	102747.800000	13.600881
AVERAGE:	710.000000	1.196971	710.000000	1.260513
AVERAGE:	2876.000000	1.196839	4344.600000	1.568913
AVERAGE:	20036.000000	1.196350	112048.700000	11.419714
AVERAGE:	18172.000000	1.196723	93045.000000	12.491345
AVERAGE:	15204.000000	1.196650	62765.100000	7.682398
AVERAGE:	24016.000000	1.076045	247099.300000	12.578490
AVERAGE:	38816.000000	0.623104	246616.500000	15.280655
AVERAGE:	44801.000000	0.556444	246129.900000	13.038462
