40
0	0.00	0.00	0.00
1	18.00	14.40	25.74
2	26.00	39.00	40.96
3	11.00	8.80	22.28
4	30.00	45.00	44.67
5	21.00	25.20	32.42
6	19.00	28.50	34.46
7	15.00	22.50	30.75
8	16.00	24.00	31.68
9	29.00	34.80	38.36
10	26.00	31.20	36.13
11	37.00	29.60	35.14
12	16.00	24.00	31.68
13	12.00	14.40	25.74
14	31.00	24.80	32.17
15	8.00	6.40	20.80
16	19.00	22.80	30.94
17	20.00	30.00	35.39
18	13.00	10.40	23.27
19	15.00	12.00	24.26
20	22.00	17.60	27.72
21	28.00	22.40	30.69
22	12.00	9.60	22.77
23	6.00	4.80	19.81
24	27.00	21.60	30.20
25	14.00	11.20	23.76
26	18.00	27.00	33.54
27	17.00	25.50	32.61
28	29.00	23.20	31.19
29	13.00	10.40	23.27
30	22.00	33.00	37.25
31	25.00	20.00	29.21
32	28.00	33.60	37.62
33	27.00	40.50	41.88
34	19.00	28.50	34.46
35	10.00	12.00	24.26
36	12.00	9.60	22.77
37	14.00	11.20	23.76
38	24.00	19.20	28.71
39	16.00	12.80	24.75
40	33.00	49.50	47.45

0.00	25.46	14.56	19.65	7.07	25.00	9.22	14.14	15.81	23.60	26.00	29.15	12.08	22.56	27.80	27.20	19.42	8.06	34.89	23.41	36.77	27.29	30.41	31.38	33.14	33.24	6.08	16.16	24.52	18.44	14.32	37.11	22.20	17.80	10.00	18.03	33.11	32.02	26.93	22.36	14.14	
25.46	0.00	14.56	23.02	26.42	33.06	16.28	39.60	40.22	37.22	47.54	54.20	31.78	42.06	53.15	40.05	14.04	24.60	36.40	47.71	44.72	23.77	9.85	12.53	25.81	42.30	30.61	35.11	14.32	30.27	21.38	54.74	31.00	8.06	33.29	43.28	34.18	38.64	50.61	38.83	29.12	
14.56	14.56	0.00	24.21	12.73	19.92	8.54	27.78	26.87	34.48	40.20	43.38	25.02	27.51	40.46	26.08	18.03	18.25	40.36	34.06	32.31	15.26	16.40	25.08	33.62	42.49	20.62	20.62	10.05	16.00	7.00	50.25	30.41	10.44	19.80	30.61	24.08	26.40	41.48	34.53	24.74	
19.65	23.02	24.21	0.00	26.00	42.20	16.28	29.43	34.00	14.87	28.32	39.45	15.23	42.20	42.72	46.07	9.00	12.04	16.28	41.11	54.64	39.41	32.39	19.72	14.14	19.42	20.02	35.74	32.20	36.36	29.07	32.57	8.06	16.76	29.43	34.37	48.10	49.20	33.42	17.49	10.30	
7.07	26.42	12.73	26.00	0.00	18.03	12.04	15.81	14.14	30.61	31.40	31.62	18.87	17.00	27.80	20.25	24.02	15.00	41.68	21.40	29.70	22.02	29.07	34.71	38.83	40.31	11.70	10.05	21.47	11.40	9.22	43.32	29.21	19.92	7.07	18.03	26.57	25.00	31.06	29.15	21.21	
25.00	33.06	19.92	42.20	18.03	0.00	26.08	30.41	25.00	48.60	48.38	45.00	36.89	16.55	37.66	8.06	37.58	32.56	58.41	28.86	12.53	13.04	29.83	44.72	53.23	58.14	29.53	14.00	20.40	6.71	13.42	60.93	46.67	30.36	20.62	30.00	10.05	7.07	46.69	47.17	39.05	
9.22	16.28	8.54	16.28	12.04	26.08	0.00	23.35	24.60	25.96	32.76	38.01	17.12	29.02	37.01	30.68	12.17	10.00	32.56	32.20	38.59	23.71	22.14	22.80	27.51	34.00	14.42	22.00	18.11	20.62	12.81	42.05	21.95	8.60	18.03	27.20	31.89	33.02	34.93	26.17	16.28	
14.14	39.60	27.78	29.43	15.81	30.41	23.35	0.00	7.07	25.63	18.87	15.81	15.03	19.21	13.89	28.64	32.20	18.03	41.44	12.17	39.40	37.48	44.10	44.78	43.57	35.85	9.85	16.76	37.16	24.08	25.00	32.20	28.16	31.89	10.00	5.00	40.20	36.40	16.28	22.36	20.00	
15.81	40.22	26.87	34.00	14.14	25.00	24.60	7.07	0.00	32.20	25.81	20.00	20.88	12.21	13.89	22.14	35.17	22.02	47.30	7.62	32.89	33.84	43.19	47.17	48.04	42.49	14.04	11.00	35.23	19.24	22.47	39.20	33.96	33.12	7.07	5.00	35.01	30.41	22.47	29.15	25.50	
23.60	37.22	34.48	14.87	30.61	48.60	25.96	25.63	32.20	0.00	15.65	29.61	12.04	43.27	36.06	50.21	23.54	16.55	17.26	37.64	60.21	49.40	46.00	34.44	24.84	10.30	19.85	38.29	43.93	42.01	37.12	17.72	7.21	30.00	30.61	30.36	56.44	55.61	22.14	4.12	9.85	
26.00	47.54	40.20	28.32	31.40	48.38	32.76	18.87	25.81	15.65	0.00	15.03	15.81	38.01	23.77	47.41	35.51	23.09	32.57	28.43	58.14	53.15	54.82	47.80	40.22	23.09	20.02	35.34	50.25	41.76	40.11	13.45	22.20	39.56	27.86	21.93	57.72	54.78	7.00	11.66	18.87	
29.15	54.20	43.38	39.45	31.62	45.00	38.01	15.81	20.00	29.61	15.03	0.00	24.41	30.81	10.63	41.59	44.69	30.41	46.87	18.38	52.17	53.15	59.54	57.49	52.80	38.01	23.60	31.00	52.92	39.12	40.80	26.40	35.11	46.23	25.50	15.00	55.01	50.25	8.06	25.50	29.15	
12.08	31.78	25.02	15.23	18.87	36.89	17.12	15.03	20.88	12.04	15.81	24.41	0.00	31.38	27.66	38.18	20.52	7.28	26.48	27.17	48.27	39.05	39.05	33.24	29.12	22.20	7.81	26.25	35.00	30.23	26.25	25.32	13.15	23.77	18.60	20.02	45.19	43.83	19.21	10.30	5.10	
