44
0	0.00	0.00	0.00
1	33.00	49.50	21.99
2	15.00	22.50	21.06
3	10.00	12.00	20.70
4	40.00	32.00	21.39
5	15.00	12.00	20.70
6	5.00	4.00	20.42
7	77.00	61.60	22.41
8	435.00	652.50	42.80
9	165.00	247.50	28.82
10	120.00	180.00	26.49
11	65.00	78.00	22.97
12	23.00	18.40	20.92
13	18.00	14.40	20.78
14	550.00	440.00	35.47
15	78.00	117.00	24.32
16	627.00	940.50	52.74
17	9.00	13.50	20.75
18	96.00	76.80	22.93
19	116.00	174.00	26.29
20	116.00	174.00	26.29
21	83.00	124.50	24.58
22	41.00	32.80	21.42
23	645.00	516.00	38.09
24	694.00	1041.00	56.21
25	573.00	687.60	44.01
26	1.00	0.80	20.31
27	181.00	144.80	25.28
28	106.00	84.80	23.21
29	52.00	41.60	21.72
30	117.00	140.40	25.13
31	52.00	41.60	21.72
32	1300.00	1560.00	74.12
33	57.00	45.60	21.86
34	28.00	22.40	21.06
35	84.00	67.20	22.60
36	1.00	0.80	20.31
37	54.00	81.00	23.08
38	19.00	28.50	21.27
39	88.00	70.40	22.71
40	41.00	49.20	21.98
41	238.00	190.40	26.85
42	66.00	79.20	23.02
43	44.00	52.80	22.11
44	42.00	33.60	21.44

0.00	5.83	9.49	50.60	50.92	70.83	71.81	65.31	22.20	3.16	17.69	49.24	52.77	53.76	52.61	2.83	9.22	22.36	27.59	25.81	10.30	10.30	63.25	64.07	0.00	34.99	61.85	81.50	129.83	82.22	41.76	50.49	51.62	65.25	45.01	54.74	29.27	21.21	22.09	39.12	40.11	41.48	28.07	30.00	30.61	
5.83	0.00	4.00	46.32	46.57	66.91	67.90	61.52	27.00	4.00	17.46	46.14	48.51	49.48	48.27	3.16	6.40	19.85	26.93	31.62	16.12	16.12	68.60	69.40	5.83	40.22	67.20	78.10	131.82	79.76	40.72	48.51	49.73	63.91	42.43	51.16	26.02	18.11	19.24	36.88	37.85	40.31	25.96	31.14	31.89	
9.49	4.00	0.00	45.54	45.71	66.37	67.36	61.13	31.00	8.00	16.28	42.72	44.64	45.61	44.38	7.07	5.00	17.03	25.08	34.99	19.70	19.70	71.06	71.84	9.49	42.64	69.66	78.00	135.00	80.41	42.54	49.65	50.92	65.39	43.17	51.00	26.48	18.97	20.25	37.95	38.90	42.06	27.31	34.21	35.00	
50.60	46.32	45.54	0.00	1.00	21.00	22.00	16.28	58.90	47.43	61.13	73.93	67.42	67.96	66.57	48.08	50.49	58.14	68.07	73.06	58.60	58.60	112.71	113.60	50.60	85.09	111.36	33.73	120.50	40.50	29.12	23.09	24.19	36.25	17.26	9.22	22.47	29.97	29.53	21.02	20.62	28.16	26.91	41.62	42.44	
50.92	46.57	45.71	1.00	0.00	21.02	22.02	16.49	59.55	47.76	61.20	73.54	66.89	67.42	66.04	48.38	50.64	58.08	68.03	73.57	59.03	59.03	113.18	114.06	50.92	85.49	111.83	33.96	121.46	41.05	30.08	24.08	25.18	37.16	18.25	10.00	23.02	30.41	30.02	21.93	21.54	29.12	27.59	42.44	43.27	
70.83	66.91	66.37	21.00	21.02	0.00	1.00	5.83	76.16	67.68	82.10	93.61	85.91	86.33	85.00	68.45	71.34	79.10	89.05	91.79	78.11	78.11	131.70	132.62	70.83	104.68	130.39	13.89	115.97	25.55	40.31	29.83	30.00	33.54	29.41	16.55	41.76	49.73	49.04	35.51	34.67	39.62	44.78	56.40	57.01	
71.81	67.90	67.36	22.00	22.02	1.00	0.00	6.71	77.03	68.66	83.10	94.56	86.82	87.24	85.91	69.43	72.34	80.10	90.05	92.70	79.06	79.06	132.62	133.54	71.81	105.62	131.31	13.04	115.85	25.06	41.04	30.48	30.61	33.73	30.23	17.46	42.72	50.70	50.00	36.36	35.51	40.36	45.69	57.20	57.80	
65.31	61.52	61.13	16.28	16.49	5.83	6.71	0.00	70.33	62.17	77.01	89.89	82.76	83.24	81.88	62.97	66.12	74.33	84.21	86.01	72.42	72.42	125.92	126.85	65.31	98.98	124.62	17.46	113.77	26.17	34.66	24.41	24.70	30.02	23.60	10.77	36.14	44.15	43.42	29.68	28.84	33.94	39.00	50.61	51.22	
22.20	27.00	31.00	58.90	59.55	76.16	77.03	70.33	0.00	23.00	37.58	70.84	74.97	75.95	74.81	24.02	31.40	43.97	47.01	18.03	15.26	15.26	56.75	57.72	22.20	33.24	55.54	83.93	111.76	80.60	38.33	49.34	50.00	60.21	46.96	59.68	36.77	30.81	30.61	40.71	41.59	38.60	32.02	21.38	21.21	
3.16	4.00	8.00	47.43	47.76	67.68	68.66	62.17	23.00	0.00	19.42	49.65	52.39	53.37	52.17	1.41	9.43	23.02	29.21	28.43	12.81	12.81	66.29	67.12	3.16	38.08	64.90	78.41	128.69	79.31	39.22	47.68	48.84	62.64	42.05	51.62	26.17	18.11	19.03	36.22	37.22	38.90	25.18	28.32	29.00	
