25
0	0.00	0.00	0.00
1	15.00	22.50	21.08
2	3.00	4.50	10.87
3	41.00	61.50	43.19
4	9.00	7.20	12.40
5	28.00	22.40	21.02
6	8.00	6.40	11.94
7	8.00	12.00	15.12
8	16.00	12.80	15.57
9	10.00	8.00	12.85
10	28.00	33.60	27.37
11	7.00	8.40	13.08
12	15.00	22.50	21.08
13	14.00	11.20	14.67
14	6.00	4.80	11.04
15	19.00	22.80	21.25
16	11.00	13.20	15.80
17	12.00	18.00	18.52
18	23.00	18.40	18.75
19	26.00	20.80	20.11
20	17.00	13.60	16.03
21	6.00	4.80	11.04
22	9.00	13.50	15.97
23	15.00	22.50	21.08
24	14.00	11.20	14.67
25	7.00	5.60	11.49

0.00	22.02	17.26	14.76	31.91	32.45	32.06	20.81	22.02	25.06	23.09	28.16	8.00	29.97	29.12	30.87	29.83	10.00	34.00	31.78	39.41	43.93	18.11	15.81	38.29	42.20	
22.02	0.00	30.81	35.90	48.01	17.72	10.05	18.87	39.40	45.35	45.10	36.80	23.09	27.51	9.22	15.23	31.76	14.87	31.58	12.04	24.17	30.08	27.59	9.22	26.93	58.60	
17.26	30.81	0.00	14.14	17.20	46.10	39.82	37.16	35.74	34.67	25.00	45.00	25.18	46.82	39.82	31.26	47.07	25.50	23.02	35.44	53.15	58.41	5.10	21.63	32.98	27.80	
14.76	35.90	14.14	0.00	20.40	47.17	45.89	34.66	24.02	21.02	11.18	36.40	19.85	42.80	43.66	41.44	41.18	24.70	37.01	44.00	54.08	58.41	18.60	28.07	45.69	29.55	
31.91	48.01	17.20	20.40	0.00	62.94	56.94	52.70	44.10	39.32	25.71	56.75	38.91	61.77	57.01	47.13	60.93	41.40	33.14	52.00	70.01	75.07	21.02	38.83	46.04	10.63	
32.45	17.72	46.10	47.17	62.94	0.00	16.76	15.03	41.01	49.37	53.85	31.62	28.79	16.64	10.05	31.02	22.83	22.47	49.24	25.32	7.07	12.53	43.83	25.94	43.05	73.54	
32.06	10.05	39.82	45.89	56.94	16.76	0.00	25.00	48.38	54.92	55.15	43.60	32.56	31.40	7.21	15.52	36.80	24.33	35.78	9.06	21.00	27.02	36.06	18.38	27.17	67.42	
20.81	18.87	37.16	34.66	52.70	15.03	25.00	0.00	26.00	34.37	39.82	18.60	15.00	10.05	18.36	34.00	13.00	11.70	47.17	30.61	20.88	24.19	36.40	22.20	45.31	63.01	
22.02	39.40	35.74	24.02	44.10	41.01	48.38	26.00	0.00	9.43	21.02	15.56	16.64	28.79	42.95	51.61	24.19	24.60	55.76	51.00	46.39	48.51	38.48	36.40	60.11	52.17	
25.06	45.35	34.67	21.02	39.32	49.37	54.92	34.37	9.43	0.00	14.04	24.84	22.36	38.08	50.16	55.90	33.62	30.59	56.64	56.30	55.11	57.57	38.42	40.72	63.01	46.10	
23.09	45.10	25.00	11.18	25.71	53.85	55.15	39.82	21.02	14.04	0.00	36.06	25.08	46.23	51.97	52.17	43.14	32.02	48.01	54.23	60.42	64.01	29.68	38.12	56.86	32.06	
28.16	36.80	45.00	36.40	56.75	31.62	43.60	18.60	15.56	24.84	36.06	0.00	20.22	16.03	36.89	51.40	10.05	24.60	61.03	48.80	35.36	36.01	46.27	37.59	61.91	65.79	
8.00	23.09	25.18	19.85	38.91	28.79	32.56	15.00	16.64	22.36	25.08	20.22	0.00	23.02	28.00	35.00	22.14	8.25	41.23	34.44	35.34	39.12	26.08	19.85	43.93	48.88	
29.97	27.51	46.82	42.80	61.77	16.64	31.40	10.05	28.79	38.08	46.23	16.03	23.02	0.00	24.21	42.72	6.32	21.59	57.08	38.47	19.42	20.10	46.32	32.06	54.41	71.87	
29.12	9.22	39.82	43.66	57.01	10.05	7.21	18.36	42.95	50.16	51.97	36.89	28.00	24.21	0.00	21.00	29.70	20.10	39.85	15.30	15.52	21.59	36.77	18.38	33.02	67.62	
30.87	15.23	31.26	41.44	47.13	31.02	15.52	34.00	51.61	55.90	52.17	51.40	35.00	42.72	21.00	0.00	46.96	27.59	20.81	6.71	36.22	42.30	26.48	15.26	12.04	57.01	
29.83	31.76	47.07	41.18	60.93	22.83	36.80	13.00	24.19	33.62	43.14	10.05	22.14	6.32	29.70	46.96	0.00	23.02	59.68	43.27	25.71	26.00	47.27	34.93	58.31	70.66	
10.00	14.87	25.50	24.70	41.40	22.47	24.33	11.70	24.60	30.59	32.02	24.60	8.25	21.59	20.10	27.59	23.02	0.00	36.88	26.42	29.41	33.97	24.74	13.04	37.44	51.86	
34.00	31.58	23.02	37.01	33.14	49.24	35.78	47.17	55.76	56.64	48.01	61.03	41.23	57.08	39.85	20.81	59.68	36.88	0.00	27.46	55.36	61.40	18.44	25.02	13.93	41.19	
31.78	12.04	35.44	44.00	52.00	25.32	9.06	30.61	51.00	56.30	54.23	48.80	34.44	38.47	15.30	6.71	43.27	26.42	27.46	0.00	30.02	36.06	31.02	16.12	18.11	62.17	
39.41	24.17	53.15	54.08	70.01	7.07	21.00	20.88	46.39	55.11	60.42	35.36	35.34	19.42	15.52	36.22	25.71	29.41	55.36	30.02	0.00	6.08	50.80	32.76	48.09	80.61	
43.93	30.08	58.41	58.41	75.07	12.53	27.02	24.19	48.51	57.57	64.01	36.01	39.12	20.10	21.59	42.30	26.00	33.97	61.40	36.06	6.08	0.00	56.30	38.47	54.15	85.63	
18.11	27.59	5.10	18.60	21.02	43.83	36.06	36.40	38.48	38.42	29.68	46.27	26.08	46.32	36.77	26.48	47.27	24.74	18.44	31.02	50.80	56.30	0.00	18.38	27.89	31.38	
15.81	9.22	21.63	28.07	38.83	25.94	18.38	22.20	36.40	40.72	38.12	37.59	19.85	32.06	18.38	15.26	34.93	13.04	25.02	16.12	32.76	38.47	18.38	0.00	24.41	49.41	
38.29	26.93	32.98	45.69	46.04	43.05	27.17	45.31	60.11	63.01	56.86	61.91	43.93	54.41	33.02	12.04	58.31	37.44	13.93	18.11	48.09	54.15	27.89	24.41	0.00	54.74	
42.20	58.60	27.80	29.55	10.63	73.54	67.42	63.01	52.17	46.10	32.06	65.79	48.88	71.87	67.62	57.01	70.66	51.86	41.19	62.17	80.61	85.63	31.38	49.41	54.74	0.00	
