22
0	0.00	0.00	0.00
1	125.00	150.00	113.48
2	84.00	67.20	112.69
3	60.00	72.00	112.73
4	500.00	400.00	115.87
5	300.00	240.00	114.34
6	175.00	262.50	114.56
7	350.00	525.00	117.07
8	150.00	120.00	113.19
9	1100.00	1320.00	124.67
10	4100.00	6150.00	170.84
11	225.00	337.50	115.27
12	300.00	450.00	116.35
13	250.00	375.00	115.63
14	500.00	400.00	115.87
15	150.00	120.00	113.19
16	100.00	80.00	112.81
17	250.00	200.00	113.96
18	120.00	180.00	113.77
19	600.00	720.00	118.93
20	500.00	400.00	115.87
21	175.00	140.00	113.38
22	75.00	60.00	112.62

0.00	47.01	41.88	49.74	62.63	64.44	35.78	27.78	45.00	37.12	33.53	22.02	7.07	30.81	49.04	65.25	54.71	63.95	22.02	43.93	50.25	60.73	80.72	
47.01	0.00	15.23	18.44	78.03	77.23	13.93	57.78	65.76	46.17	39.32	33.54	41.04	36.67	43.83	39.45	30.48	58.82	65.31	82.46	71.45	102.93	96.14	
41.88	15.23	0.00	8.25	85.51	85.38	21.02	59.68	71.11	52.95	45.89	36.01	37.58	42.58	28.65	28.64	18.03	44.05	56.40	70.94	57.04	101.64	80.96	
49.74	18.44	8.25	0.00	93.06	92.76	27.89	67.90	79.03	60.53	53.46	44.10	45.69	50.25	27.66	21.54	12.04	41.18	63.03	76.03	59.30	109.77	80.81	
62.63	78.03	85.51	93.06	0.00	4.12	65.38	35.36	17.69	32.56	39.62	50.92	59.36	42.95	106.23	114.14	103.37	122.65	78.87	100.44	112.81	57.71	143.28	
64.44	77.23	85.38	92.76	4.12	0.00	64.94	37.64	20.00	32.57	39.56	51.48	60.80	43.01	106.93	114.00	103.32	123.44	81.40	103.17	114.69	61.81	145.17	
35.78	13.93	21.02	27.89	65.38	64.94	0.00	43.86	52.24	33.02	26.00	19.72	29.15	23.09	47.38	49.34	39.00	63.70	56.04	75.33	69.26	89.31	96.60	
27.78	57.78	59.68	67.90	35.36	37.64	43.86	0.00	17.69	20.25	22.80	24.35	25.96	23.35	74.73	87.05	76.06	90.52	43.83	65.86	77.62	46.69	108.07	
45.00	65.76	71.11	79.03	17.69	20.00	52.24	17.69	0.00	19.92	26.48	35.36	42.06	29.15	89.81	99.50	88.57	106.04	61.40	83.22	95.13	50.09	125.61	
37.12	46.17	52.95	60.53	32.56	32.57	33.02	20.25	19.92	0.00	7.07	19.42	31.62	10.44	74.71	81.58	70.83	91.30	57.87	80.32	86.05	65.44	116.18	
33.53	39.32	45.89	53.46	39.62	39.56	26.00	22.80	26.48	7.07	0.00	13.45	27.31	3.61	68.10	74.53	63.79	84.72	55.11	77.37	81.02	69.31	110.89	
22.02	33.54	36.01	44.10	50.92	51.48	19.72	24.35	35.36	19.42	13.45	0.00	15.13	10.00	55.46	64.20	53.24	72.01	44.05	65.76	67.68	69.63	97.45	
7.07	41.04	37.58	45.69	59.36	60.80	29.15	25.96	42.06	31.62	27.31	15.13	0.00	24.35	48.84	62.80	51.97	64.56	29.00	50.64	54.56	64.08	84.86	
30.81	36.67	42.58	50.25	42.95	43.01	23.09	23.35	29.15	10.44	3.61	10.00	24.35	0.00	64.50	71.20	60.42	81.12	52.61	74.73	77.67	70.04	107.45	
49.04	43.83	28.65	27.66	106.23	106.93	47.38	74.73	89.81	74.71	68.10	55.46	48.84	64.50	0.00	23.60	19.24	16.64	52.00	57.28	34.18	108.19	53.15	
65.25	39.45	28.64	21.54	114.14	114.00	49.34	87.05	99.50	81.58	74.53	64.20	62.80	71.20	23.60	0.00	11.00	28.00	73.25	80.72	57.25	125.96	71.06	
54.71	30.48	18.03	12.04	103.37	103.32	39.00	76.06	88.57	70.83	63.79	53.24	51.97	60.42	19.24	11.00	0.00	30.08	64.20	73.82	53.16	115.43	71.45	
63.95	58.82	44.05	41.18	122.65	123.44	63.70	90.52	106.04	91.30	84.72	72.01	64.56	81.12	16.64	28.00	30.08	0.00	62.97	62.77	34.71	121.20	43.10	
22.02	65.31	56.40	63.03	78.87	81.40	56.04	43.83	61.40	57.87	55.11	44.05	29.00	52.61	52.00	73.25	64.20	62.97	0.00	22.47	37.95	59.14	67.12	
43.93	82.46	70.94	76.03	100.44	103.17	75.33	65.86	83.22	80.32	77.37	65.76	50.64	74.73	57.28	80.72	73.82	62.77	22.47	0.00	29.41	71.51	52.17	
50.25	71.45	57.04	59.30	112.81	114.69	69.26	77.62	95.13	86.05	81.02	67.68	54.56	77.67	34.18	57.25	53.16	34.71	37.95	29.41	0.00	96.34	30.48	
60.73	102.93	101.64	109.77	57.71	61.81	89.31	46.69	50.09	65.44	69.31	69.63	64.08	70.04	108.19	125.96	115.43	121.20	59.14	71.51	96.34	0.00	123.37	
80.72	96.14	80.96	80.81	143.28	145.17	96.60	108.07	125.61	116.18	110.89	97.45	84.86	107.45	53.15	71.06	71.45	43.10	67.12	52.17	30.48	123.37	0.00	
