47
0	0.00	0.00	0.00
1	1.00	0.80	985.39
2	1.00	1.20	1861.30
3	1.00	1.50	2518.22
4	1.00	0.80	985.39
5	1.00	1.50	2518.22
6	1.00	0.80	985.39
7	1.00	0.80	985.39
8	1.00	0.80	985.39
9	1.00	0.80	985.39
10	1.00	1.20	1861.30
11	1.00	1.50	2518.22
12	1.00	1.50	2518.22
13	1.00	1.50	2518.22
14	1.00	1.50	2518.22
15	1.00	0.80	985.39
16	1.00	0.80	985.39
17	1.00	0.80	985.39
18	1.00	0.80	985.39
19	1.00	0.80	985.39
20	1.00	1.20	1861.30
21	1.00	1.50	2518.22
22	1.00	1.20	1861.30
23	1.00	1.50	2518.22
24	1.00	1.20	1861.30
25	1.00	0.80	985.39
26	1.00	0.80	985.39
27	1.00	0.80	985.39
28	1.00	1.50	2518.22
29	1.00	0.80	985.39
30	1.00	0.80	985.39
31	1.00	1.50	2518.22
32	1.00	0.80	985.39
33	1.00	1.50	2518.22
34	1.00	0.80	985.39
35	1.00	1.20	1861.30
36	1.00	0.80	985.39
37	1.00	0.80	985.39
38	1.00	1.50	2518.22
39	1.00	1.50	2518.22
40	1.00	1.20	1861.30
41	1.00	1.20	1861.30
42	1.00	0.80	985.39
43	1.00	0.80	985.39
44	1.00	0.80	985.39
45	1.00	1.20	1861.30
46	1.00	1.50	2518.22
47	1.00	1.50	2518.22

0.00	2577.88	3105.93	1517.28	4177.34	1400.11	3931.81	3551.06	3140.17	2627.59	3206.64	1195.23	1769.95	532.08	418.80	2071.70	2443.85	4371.21	3400.27	4182.75	2018.11	1061.69	2165.04	902.92	2717.99	3863.07	4096.89	3634.70	1931.13	3747.25	3273.24	1447.11	2283.50	1163.61	4285.31	3282.12	4135.64	3085.99	966.63	1972.88	2284.91	2506.77	3934.42	3330.72	4311.56	2588.48	1283.35	1339.05	
2577.88	0.00	4726.65	1204.35	6362.50	3656.99	3129.52	2413.52	562.30	462.08	5653.50	1712.36	1603.57	2367.20	2200.37	1289.45	1003.88	3832.69	2257.60	3418.90	2266.98	2956.02	719.96	1699.31	5278.16	6075.47	3464.68	2653.68	3624.65	3114.92	1573.16	3950.07	1747.36	2141.24	6754.23	2382.12	3305.90	1028.90	3529.29	824.31	2187.00	4819.40	3488.99	1946.90	6834.32	1541.73	2378.53	3743.08	
3105.93	4726.65	0.00	3587.42	2011.66	1841.40	6976.77	6500.00	5186.87	5027.71	2326.84	4147.82	4722.74	3634.92	3124.14	4906.11	3929.65	7462.79	6337.10	7242.33	5104.56	4042.94	4021.37	3676.24	2862.59	1849.16	7172.88	6629.00	1203.18	6813.09	6000.59	3446.91	5252.22	2655.55	3122.58	6273.40	7182.76	5621.92	3084.11	4563.01	2755.07	1590.90	7026.70	6185.68	3471.21	5460.75	4389.06	2087.28	
1517.28	1204.35	3587.42	0.00	5162.03	2457.87	3677.40	3070.36	1742.00	1443.59	4461.99	1183.62	1519.96	1497.16	1102.74	1500.86	950.24	4297.46	2902.44	3966.38	2168.79	2208.90	651.64	827.12	4135.80	4872.96	3953.06	3253.06	2445.98	3580.28	2440.56	2959.63	1965.15	949.29	5563.66	2915.06	3877.77	2034.56	2481.96	1026.94	1394.88	3616.91	3890.77	2685.27	5660.20	2022.99	1866.17	2559.96	
4177.34	6362.50	2011.66	5162.03	0.00	2798.67	8063.72	7726.79	6877.27	6580.35	1401.71	5365.60	5945.99	4678.99	4377.00	6224.78	5708.59	8416.99	7577.25	8295.39	6134.93	4801.41	5706.34	4981.88	2321.82	319.85	8185.61	7799.95	2777.30	7858.03	7407.99	3762.93	6460.56	4222.12	1426.01	7450.72	8262.98	7130.39	3668.38	6010.93	4637.29	1680.84	7986.74	7501.60	1876.19	6757.81	5359.90	2843.78	
1400.11	3656.99	1841.40	2457.87	2798.67	0.00	5329.47	4945.93	4199.86	3823.60	2011.20	2572.63	3156.12	1923.09	1579.17	3426.33	3178.25	5748.34	4792.84	5576.98	3408.23	2222.26	3065.86	2184.29	1859.25	2490.12	5485.29	5034.31	893.07	5140.42	4610.53	1668.98	3676.98	1589.84	3112.02	4681.22	5532.70	4351.56	1251.33	3226.58	2425.58	1168.41	5312.08	4705.57	3240.71	3961.75	2650.96	303.78	
3931.81	3129.52	6976.77	3677.40	8063.72	5329.47	0.00	742.83	3208.39	2669.16	6928.30	2830.11	2265.70	3406.50	3853.17	2177.33	4075.48	726.01	880.19	292.58	1929.22	3309.31	3671.53	3314.13	6198.37	7744.86	364.87	481.68	5773.96	260.46	1658.20	4512.78	1745.95	4430.30	7909.41	768.53	206.12	2224.51	4434.07	2680.28	5052.25	6383.20	549.60	1223.01	7804.17	1669.68	2703.87	5229.96	
3551.06	2413.52	6500.00	3070.36	7726.79	4945.93	742.83	0.00	2467.30	1951.46	6672.59	2379.73	1794.35	3050.48	3404.89	1603.17	3381.33	1468.49	167.92	1019.48	1680.16	3109.42	2993.00	2826.49	6008.85	7411.24	1103.15	266.93	5299.66	820.33	915.43	4347.47	1269.04	3889.93	7697.56	331.05	899.09	1483.09	4184.10	2048.11	4414.24	6050.72	1218.74	481.27	7634.17	1053.32	2431.52	4883.60	
3140.17	562.30	5186.87	1742.00	6877.27	4199.86	3208.39	2467.30	0.00	717.90	6202.37	2240.41	2050.41	2919.81	2761.65	1686.70	1303.75	3931.26	2330.34	3486.42	2668.53	3486.22	1174.67	2259.15	5839.02	6595.21	3562.82	2727.00	4119.94	3239.17	1558.36	4506.64	2081.57	2657.92	7303.78	2511.06	3363.92	984.23	4090.56	1318.99	2543.77	5357.46	3631.03	1986.05	7390.36	1784.77	2878.63	4295.21	
2627.59	462.08	5027.71	1443.59	6580.35	3823.60	2669.16	1951.46	717.90	0.00	5788.32	1601.48	1342.54	2329.67	2290.92	969.74	1450.63	3375.17	1795.86	2958.01	1950.64	2834.52	1111.68	1724.76	5345.47	6284.77	3006.66	2192.41	3888.51	2660.03	1121.46	3919.29	1371.76	2390.83	6882.96	1926.07	2844.40	610.67	3542.11	675.00	2589.32	4992.01	3038.11	1485.48	6933.27	1111.73	2195.34	3875.42	
