255
0	0.00	0.00	0.00
1	300.00	450.00	21.93
2	180.00	270.00	17.21
3	300.00	450.00	21.93
4	180.00	270.00	17.21
5	128.00	192.00	15.16
6	180.00	270.00	17.21
7	180.00	270.00	17.21
8	128.00	192.00	15.16
9	100.00	150.00	14.05
10	128.00	192.00	15.16
11	180.00	270.00	17.21
12	128.00	192.00	15.16
13	100.00	150.00	14.05
14	81.00	121.50	13.30
15	100.00	150.00	14.05
16	128.00	192.00	15.16
17	128.00	192.00	15.16
18	100.00	150.00	14.05
19	81.00	121.50	13.30
20	69.00	103.50	12.83
21	81.00	121.50	13.30
22	100.00	150.00	14.05
23	128.00	192.00	15.16
24	100.00	150.00	14.05
25	81.00	121.50	13.30
26	69.00	103.50	12.83
27	60.00	90.00	12.48
28	69.00	103.50	12.83
29	81.00	121.50	13.30
30	100.00	150.00	14.05
31	100.00	150.00	14.05
32	81.00	121.50	13.30
33	69.00	103.50	12.83
34	60.00	90.00	12.48
35	52.00	78.00	12.16
36	60.00	90.00	12.48
37	69.00	103.50	12.83
38	81.00	121.50	13.30
39	100.00	150.00	14.05
40	81.00	121.50	13.30
41	69.00	103.50	12.83
42	60.00	90.00	12.48
43	52.00	78.00	12.16
44	47.00	70.50	11.96
45	52.00	78.00	12.16
46	60.00	90.00	12.48
47	69.00	103.50	12.83
48	81.00	121.50	13.30
49	81.00	121.50	13.30
50	69.00	103.50	12.83
51	60.00	90.00	12.48
52	52.00	78.00	12.16
53	47.00	70.50	11.96
54	42.00	50.40	11.44
55	47.00	70.50	11.96
56	52.00	78.00	12.16
57	60.00	90.00	12.48
58	69.00	103.50	12.83
59	81.00	121.50	13.30
60	69.00	103.50	12.83
61	60.00	90.00	12.48
62	52.00	78.00	12.16
63	47.00	70.50	11.96
64	42.00	33.60	11.00
65	39.00	46.80	11.34
66	42.00	50.40	11.44
67	47.00	70.50	11.96
68	52.00	78.00	12.16
69	60.00	90.00	12.48
70	69.00	103.50	12.83
71	69.00	103.50	12.83
72	60.00	90.00	12.48
73	52.00	78.00	12.16
74	47.00	70.50	11.96
75	42.00	33.60	11.00
76	39.00	31.20	10.93
77	36.00	28.80	10.87
78	39.00	46.80	11.34
79	42.00	50.40	11.44
80	47.00	70.50	11.96
81	52.00	78.00	12.16
82	60.00	90.00	12.48
83	69.00	103.50	12.83
84	60.00	90.00	12.48
85	52.00	78.00	12.16
86	47.00	70.50	11.96
87	42.00	33.60	11.00
88	39.00	31.20	10.93
89	36.00	43.20	11.25
90	33.00	39.60	11.15
91	36.00	28.80	10.87
92	39.00	46.80	11.34
93	42.00	50.40	11.44
94	47.00	70.50	11.96
95	52.00	78.00	12.16
96	60.00	90.00	12.48
97	60.00	90.00	12.48
98	52.00	78.00	12.16
99	47.00	70.50	11.96
100	42.00	33.60	11.00
101	39.00	31.20	10.93
102	36.00	43.20	11.25
103	33.00	26.40	10.81
104	31.00	37.20	11.09
105	33.00	39.60	11.15
106	36.00	28.80	10.87
107	39.00	31.20	10.93
108	42.00	50.40	11.44
109	47.00	56.40	11.59
110	52.00	62.40	11.75
111	60.00	90.00	12.48
112	52.00	41.60	11.21
113	47.00	37.60	11.10
114	42.00	33.60	11.00
115	39.00	46.80	11.34
116	36.00	43.20	11.25
117	33.00	26.40	10.81
118	31.00	24.80	10.76
119	29.00	23.20	10.72
120	31.00	37.20	11.09
121	33.00	39.60	11.15
122	36.00	28.80	10.87
123	39.00	31.20	10.93
124	42.00	50.40	11.44
125	47.00	56.40	11.59
126	52.00	62.40	11.75
127	52.00	41.60	11.21
128	47.00	37.60	11.10
129	42.00	33.60	11.00
130	39.00	46.80	11.34
131	36.00	43.20	11.25
132	33.00	26.40	10.81
133	31.00	24.80	10.76
134	29.00	23.20	10.72
135	29.00	23.20	10.72
136	31.00	37.20	11.09
137	33.00	39.60	11.15
138	36.00	28.80	10.87
139	39.00	31.20	10.93
140	42.00	33.60	11.00
141	47.00	37.60	11.10
142	52.00	62.40	11.75
143	47.00	56.40	11.59
144	42.00	50.40	11.44
145	39.00	46.80	11.34
146	36.00	43.20	11.25
147	33.00	26.40	10.81
148	31.00	24.80	10.76
149	29.00	23.20	10.72
150	29.00	23.20	10.72
151	31.00	24.80	10.76
152	33.00	39.60	11.15
153	36.00	43.20	11.25
154	39.00	31.20	10.93
155	42.00	33.60	11.00
156	47.00	37.60	11.10
157	47.00	56.40	11.59
158	42.00	50.40	11.44
159	39.00	46.80	11.34
160	36.00	28.80	10.87
161	33.00	26.40	10.81
162	31.00	24.80	10.76
163	29.00	23.20	10.72
164	29.00	23.20	10.72
