50
0	0.00	0.00	0.00
1	7.00	10.50	28.85
2	30.00	36.00	42.29
3	16.00	12.80	30.06
4	9.00	13.50	30.43
5	21.00	31.50	39.92
6	15.00	22.50	35.17
7	19.00	15.20	31.32
8	23.00	27.60	37.86
9	11.00	8.80	27.95
10	5.00	4.00	25.42
11	19.00	28.50	38.34
12	29.00	43.50	46.25
13	23.00	18.40	33.01
14	21.00	31.50	39.92
15	10.00	8.00	27.53
16	15.00	12.00	29.64
17	3.00	4.50	25.68
18	41.00	61.50	55.74
19	9.00	7.20	27.11
20	28.00	22.40	35.12
21	8.00	6.40	26.68
22	8.00	6.40	26.68
23	16.00	19.20	33.43
24	10.00	8.00	27.53
25	28.00	33.60	41.03
26	7.00	8.40	27.74
27	15.00	22.50	35.17
28	14.00	11.20	29.22
29	6.00	7.20	27.11
30	19.00	15.20	31.32
31	11.00	13.20	30.27
32	12.00	18.00	32.80
33	23.00	18.40	33.01
34	26.00	20.80	34.28
35	17.00	13.60	30.48
36	6.00	4.80	25.84
37	9.00	13.50	30.43
38	15.00	22.50	35.17
39	14.00	11.20	29.22
40	7.00	5.60	26.26
41	27.00	21.60	34.70
42	13.00	10.40	28.79
43	11.00	8.80	27.95
44	16.00	19.20	33.43
45	10.00	8.00	27.53
46	5.00	7.50	27.26
47	25.00	37.50	43.08
48	17.00	25.50	36.76
49	18.00	14.40	30.90
50	10.00	12.00	29.64

0.00	13.89	21.02	32.56	17.20	14.14	11.40	26.42	22.02	23.09	28.32	12.04	8.06	29.15	18.11	24.74	22.02	17.26	14.76	31.91	32.45	32.06	20.81	22.02	25.06	23.09	28.16	8.00	29.97	29.12	30.87	29.83	10.00	34.00	31.78	39.41	43.93	18.11	15.81	38.29	42.20	30.48	31.32	34.66	25.00	31.32	2.24	9.43	15.81	21.63	26.17	
13.89	0.00	12.37	19.21	31.06	22.20	16.76	22.83	11.66	24.21	34.01	12.08	20.88	41.87	26.93	36.01	18.60	30.68	27.59	45.79	20.88	26.93	7.07	21.59	29.00	33.11	18.87	8.06	16.16	21.38	32.65	17.00	6.08	42.95	30.61	27.31	31.06	30.41	18.79	43.05	56.04	44.20	44.94	34.18	37.66	42.05	13.93	23.32	12.37	26.40	24.21	
21.02	12.37	0.00	15.30	37.01	21.02	28.07	34.93	22.20	16.28	28.07	10.63	24.76	50.12	37.66	35.47	8.54	34.06	35.78	50.91	12.04	14.76	10.63	33.96	41.11	43.42	29.07	19.03	18.97	9.06	23.77	23.32	11.40	39.12	20.00	19.10	24.41	31.91	14.56	35.44	61.52	50.45	48.01	46.49	38.95	40.26	19.72	29.41	24.74	21.02	13.89	
32.56	19.21	15.30	0.00	49.68	36.06	35.36	35.01	21.10	31.00	43.01	25.08	38.28	61.07	45.65	50.60	23.00	48.02	46.75	64.20	7.81	24.17	12.21	36.67	45.61	51.97	25.32	27.20	9.49	17.09	37.48	15.81	22.80	54.33	32.28	10.05	12.08	46.52	29.83	49.50	74.65	63.03	62.27	47.00	53.71	55.54	32.02	41.87	28.46	36.22	27.29	
17.20	31.06	37.01	49.68	0.00	20.40	21.02	37.12	37.64	32.76	31.40	26.63	12.53	15.03	17.89	18.87	35.34	7.62	7.62	14.76	48.92	44.94	38.01	31.26	28.64	17.69	42.58	24.17	47.01	43.91	38.01	46.24	26.91	30.53	41.59	55.97	60.81	12.65	26.57	40.52	25.00	13.45	16.03	40.85	14.87	24.84	17.69	7.81	29.43	28.07	37.64	
14.14	22.20	21.02	36.06	20.40	0.00	25.50	40.22	33.24	12.37	14.21	11.18	9.22	35.36	30.46	14.56	16.28	14.76	23.19	31.91	32.76	25.06	27.07	36.12	38.83	33.96	40.16	20.59	37.12	25.46	18.25	39.12	16.12	20.88	21.21	39.66	45.28	11.31	7.07	24.21	42.44	32.70	27.59	48.80	18.03	20.02	12.04	15.13	29.15	8.25	17.46	
11.40	16.76	28.07	35.36	21.02	25.50	0.00	16.49	18.03	34.01	39.70	21.84	18.03	27.20	10.30	34.44	31.58	24.74	14.56	34.93	37.64	41.30	23.26	11.18	13.93	16.64	21.84	9.06	29.73	37.01	42.06	27.20	17.03	44.65	42.38	44.01	47.41	27.31	26.83	49.68	44.01	31.95	37.00	23.35	33.24	41.15	13.60	15.52	8.94	33.02	36.40	
26.42	22.83	34.93	35.01	37.12	40.22	16.49	0.00	14.04	46.10	54.04	33.30	34.01	39.85	21.59	50.70	41.34	41.23	30.00	50.16	40.31	49.66	25.71	6.08	14.21	26.93	11.18	19.85	26.31	43.66	54.56	20.88	27.02	60.42	53.25	45.00	46.39	43.66	39.60	63.78	58.25	46.53	53.15	12.04	49.73	57.38	28.30	32.02	11.31	46.75	46.87	
22.02	11.66	22.20	21.10	37.64	33.24	18.03	14.04	0.00	35.81	45.62	23.71	30.00	45.22	27.59	46.27	29.70	39.20	32.20	52.20	26.31	36.89	12.08	15.81	25.08	33.94	7.21	14.04	13.00	30.41	44.20	9.22	17.46	54.12	41.73	31.02	32.76	40.01	30.41	54.71	61.74	49.66	52.95	26.08	47.01	52.61	23.02	30.59	9.22	38.01	35.36	
23.09	24.21	16.28	31.00	32.76	12.37	34.01	46.10	35.81	0.00	12.04	12.81	21.02	47.68	41.00	23.35	8.00	26.93	35.00	43.83	25.50	13.45	26.00	43.27	47.93	45.28	43.01	26.63	35.17	16.16	8.49	39.00	19.10	23.77	9.00	31.62	37.64	22.83	7.28	19.31	54.20	44.94	38.60	56.30	28.43	26.42	20.88	27.02	34.83	6.40	5.66	
28.32	34.01	28.07	43.01	31.40	14.21	39.70	54.04	45.62	12.04	0.00	21.93	22.83	46.17	44.29	15.81	20.02	24.08	36.06	38.83	37.48	23.71	37.11	50.21	53.01	47.17	52.77	34.21	46.69	27.89	9.22	50.00	28.18	12.08	15.62	43.42	49.48	19.03	15.23	10.00	48.38	41.19	31.95	62.97	21.84	16.28	26.17	28.23	42.80	7.62	16.76	
12.04	12.08	10.63	25.08	26.63	11.18	21.84	33.30	23.71	12.81	21.93	0.00	14.21	40.31	30.02	25.71	10.00	23.43	26.25	40.31	22.67	20.02	16.00	30.53	35.74	35.13	30.89	13.89	26.02	17.46	21.26	28.44	6.40	31.26	20.62	29.73	35.00	21.47	6.71	31.06	50.93	40.00	37.44	43.57	28.64	31.14	10.20	19.24	22.02	14.32	14.56	
8.06	20.88	24.76	38.28	12.53	9.22	18.03	34.01	30.00	21.02	22.83	14.21	0.00	26.93	21.47	16.76	22.85	9.85	14.04	26.17	36.77	32.57	27.31	29.15	30.48	24.74	36.22	16.03	37.00	31.38	27.46	37.48	15.65	26.63	30.02	43.84	48.92	10.05	14.32	32.76	36.77	25.81	24.17	41.23	17.03	23.41	7.07	6.00	23.77	17.46	25.50	
29.15	41.87	50.12	61.07	15.03	35.36	27.20	39.85	45.22	47.68	46.17	40.31	26.93	0.00	18.38	32.28	49.65	22.09	14.42	14.42	61.59	59.48	48.92	33.84	27.17	13.15	48.30	33.97	56.64	57.78	53.04	54.41	39.12	43.66	56.57	68.51	72.80	27.17	41.23	54.92	19.00	9.43	21.93	39.00	26.93	37.16	30.41	21.19	36.06	43.10	52.39	
18.11	26.93	37.66	45.65	17.89	30.46	10.30	21.59	27.59	41.00	44.29	30.02	21.47	18.38	0.00	35.38	40.01	24.21	10.30	29.02	47.76	50.00	33.54	15.52	10.77	6.40	30.02	18.97	39.82	46.39	48.38	36.80	26.31	46.69	49.82	54.23	57.71	28.28	33.73	54.20	36.67	25.08	33.24	23.09	32.45	41.87	20.22	16.40	18.38	38.63	44.28	
24.74	36.01	35.47	50.60	18.87	14.56	34.44	50.70	46.27	23.35	15.81	25.71	16.76	32.28	35.38	0.00	29.68	11.40	25.50	23.19	46.96	36.77	41.44	45.62	45.61	36.40	52.77	32.56	51.48	38.83	24.60	53.01	30.07	11.66	30.23	53.71	59.48	7.21	21.02	23.02	32.57	26.02	16.16	57.14	6.08	6.71	23.35	19.42	40.52	16.97	29.00	
22.02	18.60	8.54	23.00	35.34	16.28	31.58	41.34	29.70	8.00	20.02	10.00	22.85	49.65	40.01	29.68	0.00	30.81	35.90	48.01	17.72	10.05	18.87	39.40	45.35	45.10	36.80	23.09	27.51	9.22	15.23	31.76	14.87	31.58	12.04	24.17	30.08	27.59	9.22	26.93	58.60	48.37	43.84	52.33	34.06	33.62	20.10	28.46	30.41	13.60	5.66	
17.26	30.68	34.06	48.02	7.62	14.76	24.74	41.23	39.20	26.93	24.08	23.43	9.85	22.09	24.21	11.40	30.81	0.00	14.14	17.20	46.10	39.82	37.16	35.74	34.67	25.00	45.00	25.18	46.82	39.82	31.26	47.07	25.50	23.02	35.44	53.15	58.41	5.10	21.63	32.98	27.80	18.03	14.32	46.53	8.54	17.69	16.76	9.22	32.06	21.59	32.20	
14.76	27.59	35.78	46.75	7.62	23.19	14.56	30.00	32.20	35.00	36.06	26.25	14.04	14.42	10.30	25.50	35.90	14.14	0.00	20.40	47.17	45.89	34.66	24.02	21.02	11.18	36.40	19.85	42.80	43.66	41.44	41.18	24.70	37.01	44.00	54.08	58.41	18.60	28.07	45.69	29.55	17.46	23.35	33.24	22.20	31.83	16.16	8.06	23.41	31.40	39.20	
